PC=0000000000000074, T_valid=1, T=16, Told=57, rega=57, regb=54
PC=0000000000000078, T_valid=1, T=26, Told=35, rega=31, regb=16
PC=000000000000014c, T_valid=1, T=58, Told=47, rega=47, regb=53
PC=0000000000000150, T_valid=1, T=16, Told=48, rega=58, regb=37
PC=0000000000000154, T_valid=0, T=31, Told=31, rega=31, regb=35
PC=0000000000000158, T_valid=1, T=26, Told=16, rega=16, regb=31
PC=000000000000015c, T_valid=1, T= 2, Told=26, rega=26, regb=31
PC=0000000000000170, T_valid=1, T= 0, Told= 2, rega= 2, regb=31
PC=0000000000000174, T_valid=1, T=63, Told= 0, rega= 0, regb=31
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=16, regb=31
PC=0000000000000070, T_valid=1, T=26, Told=50, rega=31, regb=53
PC=0000000000000074, T_valid=1, T= 2, Told=57, rega=57, regb=54
PC=0000000000000078, T_valid=1, T= 0, Told=35, rega=31, regb= 2
PC=000000000000007c, T_valid=1, T=63, Told=54, rega=54, regb=53
PC=0000000000000080, T_valid=1, T= 1, Told= 2, rega= 2, regb=63
PC=0000000000000084, T_valid=1, T=20, Told= 0, rega=31, regb= 1
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=16, regb=31
PC=0000000000000134, T_valid=1, T=63, Told=53, rega=53, regb=53
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb= 0
PC=000000000000007c, T_valid=1, T= 1, Told=54, rega=54, regb=63
PC=0000000000000080, T_valid=1, T=20, Told= 2, rega= 2, regb= 1
PC=0000000000000084, T_valid=1, T= 4, Told= 0, rega=31, regb=20
PC=0000000000000088, T_valid=0, T=31, Told=31, rega=16, regb=31
PC=0000000000000070, T_valid=1, T=21, Told=26, rega=31, regb=63
PC=0000000000000074, T_valid=1, T=22, Told=20, rega=20, regb= 1
PC=0000000000000078, T_valid=1, T=59, Told= 4, rega=31, regb=22
PC=0000000000000110, T_valid=1, T=21, Told=16, rega=16, regb=31
PC=0000000000000114, T_valid=0, T=31, Told=31, rega=31, regb= 4
PC=0000000000000118, T_valid=1, T=22, Told=37, rega=37, regb=31
PC=000000000000011c, T_valid=1, T=59, Told=21, rega=31, regb=31
